run_id,model,feature,reducer,params,cv_accuracy,cv_f1,test_accuracy,test_f1,runtime,timestamp,params_json
knn_histogram_none,knn,histogram,none,"{'clf__metric': 'manhattan', 'clf__n_neighbors': 11, 'clf__weights': 'distance'}",0.1865,0.1697,0.2052,0.1866,39.2,2026-03-31T03:45:32.690317,"{""clf__metric"": ""manhattan"", ""clf__n_neighbors"": 11, ""clf__weights"": ""distance""}"
logistic_histogram_none,logistic,histogram,none,"{'clf__C': 0.01, 'clf__max_iter': 2000, 'clf__solver': 'lbfgs'}",0.2274,0.2181,0.2386,0.2299,8.98,2026-03-31T03:45:41.769295,"{""clf__C"": 0.01, ""clf__max_iter"": 2000, ""clf__solver"": ""lbfgs""}"
naive_bayes_histogram_none,naive_bayes,histogram,none,{'clf__var_smoothing': 1e-09},0.1671,0.14,0.1702,0.1429,0.63,2026-03-31T03:45:42.499458,"{""clf__var_smoothing"": 1e-09}"
decision_tree_histogram_none,decision_tree,histogram,none,"{'clf__max_depth': 10, 'clf__min_samples_leaf': 5, 'clf__min_samples_split': 2}",0.1531,0.15,0.156,0.1546,27.1,2026-03-31T03:46:09.679919,"{""clf__max_depth"": 10, ""clf__min_samples_leaf"": 5, ""clf__min_samples_split"": 2}"
perceptron_histogram_none,perceptron,histogram,none,"{'clf__alpha': 0.0001, 'clf__max_iter': 1000, 'clf__penalty': None}",0.1173,0.1125,0.1312,0.1198,3.42,2026-03-31T03:46:13.193347,"{""clf__alpha"": 0.0001, ""clf__max_iter"": 1000, ""clf__penalty"": null}"
mlp_sklearn_histogram_none,mlp_sklearn,histogram,none,"{'clf__activation': 'relu', 'clf__hidden_layer_sizes': (512, 256, 128), 'clf__learning_rate_init': 0.001}",0.2466,0.2362,0.2666,0.2643,142.09,2026-03-31T03:48:35.430786,"{""clf__activation"": ""relu"", ""clf__hidden_layer_sizes"": [512, 256, 128], ""clf__learning_rate_init"": 0.001}"
kde_histogram_none,kde,histogram,none,"{'clf__bandwidth': 2.0, 'clf__kernel': 'gaussian'}",0.1638,0.1481,0.1864,0.1665,92.72,2026-03-31T03:50:08.329021,"{""clf__bandwidth"": 2.0, ""clf__kernel"": ""gaussian""}"
knn_hog_none,knn,hog,none,"{'clf__metric': 'manhattan', 'clf__n_neighbors': 3, 'clf__weights': 'distance'}",0.0949,0.0737,0.0958,0.0746,4662.94,2026-03-31T05:08:04.251078,"{""clf__metric"": ""manhattan"", ""clf__n_neighbors"": 3, ""clf__weights"": ""distance""}"
naive_bayes_hog_none,naive_bayes,hog,none,{'clf__var_smoothing': 1e-09},0.1911,0.1744,0.1924,0.176,99.17,2026-03-31T05:10:45.191049,"{""clf__var_smoothing"": 1e-09}"
decision_tree_hog_none,decision_tree,hog,none,"{'clf__max_depth': 20, 'clf__min_samples_leaf': 5, 'clf__min_samples_split': 10}",0.0767,0.0751,0.074,0.0744,6538.3,2026-03-31T06:59:55.815629,"{""clf__max_depth"": 20, ""clf__min_samples_leaf"": 5, ""clf__min_samples_split"": 10}"
perceptron_hog_none,perceptron,hog,none,"{'clf__alpha': 0.0001, 'clf__max_iter': 1000, 'clf__penalty': 'l2'}",0.1224,0.1211,0.1246,0.1239,816.58,2026-03-31T07:13:45.916707,"{""clf__alpha"": 0.0001, ""clf__max_iter"": 1000, ""clf__penalty"": ""l2""}"
mlp_sklearn_hog_none,mlp_sklearn,hog,none,"{'clf__activation': 'relu', 'clf__hidden_layer_sizes': (512, 256, 128), 'clf__learning_rate_init': 0.001}",0.2097,0.211,0.2304,0.2276,3356.23,2026-03-31T08:09:54.939763,"{""clf__activation"": ""relu"", ""clf__hidden_layer_sizes"": [512, 256, 128], ""clf__learning_rate_init"": 0.001}"
knn_lbp_none,knn,lbp,none,"{'clf__metric': 'euclidean', 'clf__n_neighbors': 21, 'clf__weights': 'distance'}",0.157,0.1465,0.1706,0.1589,9.97,2026-03-31T08:10:51.684433,"{""clf__metric"": ""euclidean"", ""clf__n_neighbors"": 21, ""clf__weights"": ""distance""}"
logistic_lbp_none,logistic,lbp,none,"{'clf__C': 1.0, 'clf__max_iter': 2000, 'clf__solver': 'lbfgs'}",0.2211,0.2021,0.2252,0.2063,3.59,2026-03-31T08:10:55.313483,"{""clf__C"": 1.0, ""clf__max_iter"": 2000, ""clf__solver"": ""lbfgs""}"
naive_bayes_lbp_none,naive_bayes,lbp,none,{'clf__var_smoothing': 1e-09},0.1367,0.1028,0.1414,0.1063,0.58,2026-03-31T08:10:55.931228,"{""clf__var_smoothing"": 1e-09}"
decision_tree_lbp_none,decision_tree,lbp,none,"{'clf__max_depth': 10, 'clf__min_samples_leaf': 5, 'clf__min_samples_split': 10}",0.1231,0.1152,0.1312,0.1258,4.31,2026-03-31T08:11:00.274927,"{""clf__max_depth"": 10, ""clf__min_samples_leaf"": 5, ""clf__min_samples_split"": 10}"
perceptron_lbp_none,perceptron,lbp,none,"{'clf__alpha': 0.0001, 'clf__max_iter': 1000, 'clf__penalty': None}",0.11,0.099,0.1194,0.1068,1.14,2026-03-31T08:11:01.441697,"{""clf__alpha"": 0.0001, ""clf__max_iter"": 1000, ""clf__penalty"": null}"
mlp_sklearn_lbp_none,mlp_sklearn,lbp,none,"{'clf__activation': 'relu', 'clf__hidden_layer_sizes': (256, 128), 'clf__learning_rate_init': 0.001}",0.1901,0.1857,0.2024,0.2001,144.88,2026-03-31T08:13:26.357506,"{""clf__activation"": ""relu"", ""clf__hidden_layer_sizes"": [256, 128], ""clf__learning_rate_init"": 0.001}"
kde_lbp_none,kde,lbp,none,"{'clf__bandwidth': 1.0, 'clf__kernel': 'gaussian'}",0.1685,0.1422,0.1804,0.1515,22.46,2026-03-31T08:13:48.845493,"{""clf__bandwidth"": 1.0, ""clf__kernel"": ""gaussian""}"
knn_glcm_none,knn,glcm,none,"{'clf__metric': 'euclidean', 'clf__n_neighbors': 21, 'clf__weights': 'distance'}",0.1235,0.1186,0.1308,0.1258,7.59,2026-03-31T08:13:56.505383,"{""clf__metric"": ""euclidean"", ""clf__n_neighbors"": 21, ""clf__weights"": ""distance""}"
logistic_glcm_none,logistic,glcm,none,"{'clf__C': 10.0, 'clf__max_iter': 2000, 'clf__solver': 'lbfgs'}",0.1925,0.1816,0.2018,0.1919,20.16,2026-03-31T08:14:16.693922,"{""clf__C"": 10.0, ""clf__max_iter"": 2000, ""clf__solver"": ""lbfgs""}"
naive_bayes_glcm_none,naive_bayes,glcm,none,{'clf__var_smoothing': 1e-09},0.1011,0.054,0.1016,0.0503,0.51,2026-03-31T08:14:17.238408,"{""clf__var_smoothing"": 1e-09}"
decision_tree_glcm_none,decision_tree,glcm,none,"{'clf__max_depth': 10, 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 10}",0.1084,0.1012,0.1196,0.113,7.32,2026-03-31T08:14:24.581262,"{""clf__max_depth"": 10, ""clf__min_samples_leaf"": 1, ""clf__min_samples_split"": 10}"
perceptron_glcm_none,perceptron,glcm,none,"{'clf__alpha': 0.0001, 'clf__max_iter': 1000, 'clf__penalty': None}",0.0866,0.0689,0.1064,0.0865,1.33,2026-03-31T08:14:25.935374,"{""clf__alpha"": 0.0001, ""clf__max_iter"": 1000, ""clf__penalty"": null}"
mlp_sklearn_glcm_none,mlp_sklearn,glcm,none,"{'clf__activation': 'relu', 'clf__hidden_layer_sizes': (256, 128), 'clf__learning_rate_init': 0.001}",0.1713,0.1707,0.1862,0.1858,159.96,2026-03-31T08:17:05.929951,"{""clf__activation"": ""relu"", ""clf__hidden_layer_sizes"": [256, 128], ""clf__learning_rate_init"": 0.001}"
kde_glcm_none,kde,glcm,none,"{'clf__bandwidth': 1.0, 'clf__kernel': 'gaussian'}",0.133,0.1123,0.137,0.1136,26.61,2026-03-31T08:17:32.569385,"{""clf__bandwidth"": 1.0, ""clf__kernel"": ""gaussian""}"
knn_fused_none,knn,fused,none,"{'clf__metric': 'manhattan', 'clf__n_neighbors': 3, 'clf__weights': 'distance'}",0.0987,0.0777,0.1036,0.0834,4638.94,2026-03-31T09:35:02.364440,"{""clf__metric"": ""manhattan"", ""clf__n_neighbors"": 3, ""clf__weights"": ""distance""}"
naive_bayes_fused_none,naive_bayes,fused,none,{'clf__var_smoothing': 1e-09},0.2094,0.1935,0.212,0.1967,82.27,2026-03-31T09:37:22.611449,"{""clf__var_smoothing"": 1e-09}"
decision_tree_fused_none,decision_tree,fused,none,"{'clf__max_depth': 10, 'clf__min_samples_leaf': 5, 'clf__min_samples_split': 10}",0.1446,0.1428,0.155,0.1455,4667.84,2026-03-31T10:55:23.072380,"{""clf__max_depth"": 10, ""clf__min_samples_leaf"": 5, ""clf__min_samples_split"": 10}"
perceptron_fused_none,perceptron,fused,none,"{'clf__alpha': 0.0001, 'clf__max_iter': 1000, 'clf__penalty': 'l2'}",0.1491,0.1478,0.155,0.1551,838.24,2026-03-31T11:09:35.009870,"{""clf__alpha"": 0.0001, ""clf__max_iter"": 1000, ""clf__penalty"": ""l2""}"
mlp_sklearn_fused_none,mlp_sklearn,fused,none,"{'clf__activation': 'relu', 'clf__hidden_layer_sizes': (512, 256, 128), 'clf__learning_rate_init': 0.001}",0.2472,0.2423,0.2636,0.261,3199.07,2026-03-31T12:03:07.487323,"{""clf__activation"": ""relu"", ""clf__hidden_layer_sizes"": [512, 256, 128], ""clf__learning_rate_init"": 0.001}"
knn_hog_pca,knn,hog,pca,"{'clf__metric': 'euclidean', 'clf__n_neighbors': 11, 'clf__weights': 'distance'}",0.138,0.1243,0.1428,0.1322,693.33,2026-03-31T16:18:39.175653,"{""clf__metric"": ""euclidean"", ""clf__n_neighbors"": 11, ""clf__weights"": ""distance""}"
logistic_hog_pca,logistic,hog,pca,"{'clf__C': 0.01, 'clf__max_iter': 2000, 'clf__solver': 'lbfgs'}",0.2189,0.2151,0.2424,0.2373,245.22,2026-03-31T16:22:56.873483,"{""clf__C"": 0.01, ""clf__max_iter"": 2000, ""clf__solver"": ""lbfgs""}"
naive_bayes_hog_pca,naive_bayes,hog,pca,{'clf__var_smoothing': 1e-07},0.1704,0.167,0.1778,0.1778,230.58,2026-03-31T16:26:59.093503,"{""clf__var_smoothing"": 1e-07}"
decision_tree_hog_pca,decision_tree,hog,pca,"{'clf__max_depth': 10, 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 10}",0.1083,0.1046,0.1194,0.117,716.19,2026-03-31T16:39:06.712700,"{""clf__max_depth"": 10, ""clf__min_samples_leaf"": 1, ""clf__min_samples_split"": 10}"
perceptron_hog_pca,perceptron,hog,pca,"{'clf__alpha': 0.001, 'clf__max_iter': 1000, 'clf__penalty': None}",0.1152,0.1047,0.1252,0.1167,236.3,2026-03-31T16:43:15.106501,"{""clf__alpha"": 0.001, ""clf__max_iter"": 1000, ""clf__penalty"": null}"
mlp_sklearn_hog_pca,mlp_sklearn,hog,pca,"{'clf__activation': 'relu', 'clf__hidden_layer_sizes': (512, 256, 128), 'clf__learning_rate_init': 0.001}",0.2035,0.1964,0.217,0.2156,346.79,2026-03-31T16:49:13.736233,"{""clf__activation"": ""relu"", ""clf__hidden_layer_sizes"": [512, 256, 128], ""clf__learning_rate_init"": 0.001}"
kde_hog_pca,kde,hog,pca,"{'clf__bandwidth': 1.0, 'clf__kernel': 'gaussian'}",0.0644,0.0695,0.065,0.0629,354.22,2026-03-31T16:55:19.533607,"{""clf__bandwidth"": 1.0, ""clf__kernel"": ""gaussian""}"
knn_fused_pca,knn,fused,pca,"{'clf__metric': 'euclidean', 'clf__n_neighbors': 21, 'clf__weights': 'distance'}",0.1446,0.133,0.152,0.139,695.72,2026-03-31T17:07:11.361591,"{""clf__metric"": ""euclidean"", ""clf__n_neighbors"": 21, ""clf__weights"": ""distance""}"
logistic_fused_pca,logistic,fused,pca,"{'clf__C': 1.0, 'clf__max_iter': 2000, 'clf__solver': 'lbfgs'}",0.2422,0.2391,0.2658,0.2592,251.75,2026-03-31T17:11:35.763721,"{""clf__C"": 1.0, ""clf__max_iter"": 2000, ""clf__solver"": ""lbfgs""}"
naive_bayes_fused_pca,naive_bayes,fused,pca,{'clf__var_smoothing': 1e-09},0.1871,0.1877,0.1928,0.1891,233.47,2026-03-31T17:15:40.984123,"{""clf__var_smoothing"": 1e-09}"
decision_tree_fused_pca,decision_tree,fused,pca,"{'clf__max_depth': 10, 'clf__min_samples_leaf': 5, 'clf__min_samples_split': 2}",0.1062,0.1094,0.118,0.1138,722.45,2026-03-31T17:27:55.631247,"{""clf__max_depth"": 10, ""clf__min_samples_leaf"": 5, ""clf__min_samples_split"": 2}"
perceptron_fused_pca,perceptron,fused,pca,"{'clf__alpha': 0.0001, 'clf__max_iter': 1000, 'clf__penalty': None}",0.1267,0.118,0.1326,0.1259,241.3,2026-03-31T17:32:09.088890,"{""clf__alpha"": 0.0001, ""clf__max_iter"": 1000, ""clf__penalty"": null}"
mlp_sklearn_fused_pca,mlp_sklearn,fused,pca,"{'clf__activation': 'relu', 'clf__hidden_layer_sizes': (512, 256, 128), 'clf__learning_rate_init': 0.001}",0.2166,0.2216,0.2406,0.24,279.87,2026-03-31T17:37:01.381211,"{""clf__activation"": ""relu"", ""clf__hidden_layer_sizes"": [512, 256, 128], ""clf__learning_rate_init"": 0.001}"
kde_fused_pca,kde,fused,pca,"{'clf__bandwidth': 0.5, 'clf__kernel': 'gaussian'}",0.0742,0.0724,0.0716,0.0694,324.49,2026-03-31T17:42:38.178824,"{""clf__bandwidth"": 0.5, ""clf__kernel"": ""gaussian""}"
